,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
P68-NH62,[81-354],[66-324],[100-251],[62-362],[92-318],[50-348],[43-247],[25-186],[56-221],[98-259],[54-277],[73-325],[57-259],[51-228],[94-289],[91-271],[54-268],[115-252],[58-258],[76-233],[68-239],[67-307],[70-296],[61-272],[73-288],[66-230],[82-313],[87-314],[116-330],[72-347],baaab,Group: 4
P04-NH62,[62-253],[59-278],[47-276],[63-239],[63-322],[65-239],[75-298],[55-306],[65-355],[39-291],[47-319],[85-287],[94-305],[74-276],[74-341],[52-302],[76-304],[73-338],[63-265],[69-280],[57-281],[44-237],[48-256],[61-338],[82-298],[107-331],[76-265],[56-272],[67-262],[60-234],aaaaa,Group: 5
P41-NH62,[62-253],[59-278],[47-276],[63-239],[63-322],[65-239],[75-298],[55-306],[65-355],[39-291],[47-319],[85-287],[94-305],[74-276],[74-341],[52-302],[76-304],[73-338],[63-265],[69-280],[57-281],[44-237],[48-256],[61-338],[82-298],[107-331],[76-265],[56-272],[67-262],[60-234],aaaaa,Group: 5
P19-NH58,[62-253],[59-278],[47-276],[63-239],[63-322],[65-239],[75-298],[55-306],[65-355],[39-291],[47-319],[85-287],[94-305],[74-276],[74-341],[52-302],[76-304],[73-338],[63-265],[69-280],[57-281],[44-237],[48-256],[61-338],[82-298],[107-331],[76-265],[56-272],[67-262],[60-234],aaaaa,Group: 5
P36-NH60,[62-253],[59-278],[47-276],[63-239],[63-322],[65-239],[75-298],[55-306],[65-355],[39-291],[47-319],[85-287],[94-305],[74-276],[74-341],[52-302],[76-304],[73-338],[63-265],[69-280],[57-281],[44-237],[48-256],[61-338],[82-298],[107-331],[76-265],[56-272],[67-262],[60-234],aaaaa,Group: 5
P65-NH62,[62-253],[59-278],[47-276],[63-239],[63-322],[65-239],[75-298],[55-306],[65-355],[39-291],[47-319],[85-287],[94-305],[74-276],[74-341],[52-302],[76-304],[73-338],[63-265],[69-280],[57-281],[44-237],[48-256],[61-338],[82-298],[107-331],[76-265],[56-272],[67-262],[60-234],aaaaa,Group: 5
P27-NH58,[62-253],[59-278],[47-276],[63-239],[63-322],[65-239],[75-298],[55-306],[65-355],[39-291],[47-319],[85-287],[94-305],[74-276],[74-341],[52-302],[76-304],[73-338],[63-265],[69-280],[57-281],[44-237],[48-256],[61-338],[82-298],[107-331],[76-265],[56-272],[67-262],[60-234],aaaaa,Group: 5
P27-NH60,[30-257],[57-233],[45-263],[44-239],[63-322],[60-239],[75-357],[47-306],[41-220],[70-243],[75-275],[55-238],[49-305],[47-224],[48-183],[51-248],[43-223],[73-270],[43-273],[50-255],[43-281],[44-301],[48-204],[61-256],[75-267],[42-290],[55-223],[56-244],[66-243],[66-253],aaaaa,Group: 6
P67-NH62,[30-257],[57-233],[45-263],[44-239],[63-322],[60-239],[75-357],[47-306],[41-220],[70-243],[75-275],[55-238],[49-305],[47-224],[48-183],[51-248],[43-223],[73-270],[43-273],[50-255],[43-281],[44-301],[48-204],[61-256],[75-267],[42-290],[55-223],[56-244],[66-243],[66-253],aaaaa,Group: 6
P46-NH58,[30-257],[57-233],[45-263],[44-239],[63-322],[60-239],[75-357],[47-306],[41-220],[70-243],[75-275],[55-238],[49-305],[47-224],[48-183],[51-248],[43-223],[73-270],[43-273],[50-255],[43-281],[44-301],[48-204],[61-256],[75-267],[42-290],[55-223],[56-244],[66-243],[66-253],aaaaa,Group: 6
